100,1.16 
2022-11-28,102900011032022,0.58 
2022-11-28,102900011032237,0.66 
2022-11-28,102900011032244,2.49 
2022-11-28,102900011032251,1.60 
2022-11-28,102900011032848,1.20 
2022-11-28,102900011033906,0.72 
2022-11-28,102900011033920,1.37 
2022-11-28,102900011033944,6.20 
2022-11-28,102900011034026,1.47 
2022-11-28,102900011034224,0.88 
2022-11-28,102900011034231,0.72 
2022-11-28,102900011034330,3.49 
2022-11-28,102900011035078,7.00 
2022-11-28,102900011035771,3.20 
2022-11-28,102900051010455,0.01 
2022-11-28,106949711300259,1.83 
2022-11-29,102900005115878,2.10 
2022-11-29,102900005116257,3.91 
2022-11-29,102900005116530,13.15 
2022-11-29,102900005116714,3.11 
2022-11-29,102900005116837,3.27 
2022-11-29,102900005116899,4.05 
2022-11-29,102900005118817,5.03 
2022-11-29,102900005118831,2.07 
2022-11-29,102900005122654,2.45 
2022-11-29,102900011016701,2.31 
2022-11-29,102900011021842,7.00 
2022-11-29,102900011022849,0.80 
2022-11-29,102900011030059,1.64 
2022-11-29,102900011030097,1.74 
2022-11-29,102900011030134,0.84 
2022-11-29,102900011030141,1.26 
2022-11-29,102900011030912,0.97 
2022-11-29,102900011031100,1.15 
2022-11-29,102900011031926,3.12 
2022-11-29,102900011032022,0.53 
2022-11-29,102900011032213,1.34 
2022-11-29,102900011032237,0.66 
2022-11-29,102900011032244,1.26 
2022-11-29,102900011032251,1.61 
2022-11-29,102900011032848,1.20 
2022-11-29,102900011033906,0.71 
2022-11-29,102900011033920,1.37 
2022-11-29,102900011033937,5.19 
2022-11-29,102900011033944,6.23 
2022-11-29,102900011034026,1.57 
2022-11-29,102900011034224,0.74 
2022-11-29,102900011034231,0.72 
2022-11-29,102900011034330,3.49 
2022-11-29,102900011035078,7.00 
2022-11-29,102900011035771,3.07 
2022-11-29,102900011035788,1.87 
2022-11-29,106949711300259,1.85 
2022-11-30,102900005115878,2.23 
2022-11-30,102900005116257,3.91 
2022-11-30,102900005116530,9.00 
2022-11-30,102900005116714,3.49 
2022-11-30,102900005116837,3.58 
2022-11-30,102900005116899,3.86 
2022-11-30,102900005118817,5.01 
2022-11-30,102900005118831,2.07 
2022-11-30,102900005122654,1.93 
2022-11-30,102900011016701,2.29 
2022-11-30,102900011021842,7.00 
2022-11-30,102900011022849,1.35 
2022-11-30,102900011030059,1.89 
2022-11-30,102900011030097,1.75 
2022-11-30,102900011030134,0.66 
2022-11-30,102900011030141,1.22 
2022-11-30,102900011030912,2.70 
2022-11-30,102900011031100,1.12 
2022-11-30,102900011031926,3.08 
2022-11-30,102900011032022,0.54 
2022-11-30,102900011032237,0.66 
2022-11-30,102900011032244,2.48 
2022-11-30,102900011032251,1.38 
2022-11-30,102900011032848,1.20 
2022-11-30,102900011033906,0.64 
2022-11-30,102900011033920,1.37 
2022-11-30,102900011033937,1.51 
2022-11-30,102900011033944,6.24 
2022-11-30,102900011034026,1.27 
2022-11-30,102900011034224,0.74 
2022-11-30,102900011034231,0.88 
2022-11-30,102900011034330,3.49 
2022-11-30,102900011035771,3.06 
2022-11-30,102900011035788,2.05 
2022-11-30,106949711300259,1.84 
2022-12-01,102900005115878,1.72 
2022-12-01,102900005116257,3.91 
2022-12-01,102900005116530,11.28 
2022-12-01,102900005116714,3.11 
2022-12-01,102900005116837,3.54 
2022-12-01,102900005116899,3.94 
2022-12-01,102900005118817,5.00 
2022-12-01,102900005118831,2.07 
2022-12-01,102900005122654,1.94 
2022-12-01,102900011016701,2.05 
2022-12-01,102900011021842,7.00 
2022-12-01,102900011022849,0.89 
2022-12-01,102900011030059,1.94 
2022-12-01,102900011030097,1.76 
2022-12-01,102900011030134,0.67 
2022-12-01,102900011030141,1.19 
2022-12-01,102900011030912,2.33 
2022-12-01,102900011031100,1.12 
2022-12-01,102900011032022,0.55 
2022-12-01,102900011032237,0.66 
2022-12-01,102900011032251,1.27 
2022-12-01,102900011032848,1.20 
2022-12-01,102900011033906,0.04 
2022-12-01,102900011033920,1.43 
2022-12-01,102900011033944,6.24 
2022-12-01,102900011033982,0.01 
2022-12-01,102900011034026,1.27 
2022-12-01,102900011034224,0.82 
2022-12-01,102900011034231,0.91 
2022-12-01,102900011035078,7.00 
2022-12-01,102900011035771,3.06 
2022-12-01,102900011035788,2.05 
